subject_id,cert_id,subject_name,full_mark,pass_mark,exam_duration,question_types
physician_licensed_practice,physician_licensed,实践技能考试（医师）,100,60,多站分站考核,多站式（病史采集+体格检查+基本操作等）
physician_licensed_unit1,physician_licensed,医学综合（基础医学+人文）,150,72,2.5小时,单选题+配伍题+案例分析
physician_licensed_unit2,physician_licensed,医学综合（预防医学+临床医学）,150,72,2.5小时,单选题+配伍题+案例分析
physician_licensed_unit3,physician_licensed,医学综合（临床医学·下）,150,72,2.5小时,单选题+配伍题+案例分析
physician_licensed_unit4,physician_licensed,医学综合（临床综合+儿科+传染等）,150,72,2.5小时,单选题+配伍题+案例分析
pharmacist_licensed_yao1,pharmacist_licensed,药学专业知识（一）,100,72,1.5小时,客观题（A/B/C/X型均为选择题）
pharmacist_licensed_yao2,pharmacist_licensed,药学专业知识（二）,100,72,1.5小时,客观题
pharmacist_licensed_fagui,pharmacist_licensed,药事管理与法规,100,72,1.5小时,客观题
pharmacist_licensed_zhonghe,pharmacist_licensed,药学综合知识与技能,100,72,1.5小时,客观题
nle_obj1,nle,客观题试卷一（公法卷）,150,90,3小时,单选50×1+多选/不定项50×2
nle_obj2,nle,客观题试卷二（私法卷）,150,90,3小时,单选50×1+多选/不定项50×2
nle_subjective,nle,主观题（综合卷）,180,108,4小时,案例分析+法律文书+论述题
physician_title_jichu,physician_title,基础知识,100,60,1.5小时,客观题（单选题+A3/A4/B1型）
physician_title_xiangguan,physician_title,相关专业知识,100,60,1.5小时,客观题
physician_title_zhuanye,physician_title,专业知识,100,60,1.5小时,客观题
physician_title_shijian,physician_title,专业实践能力,100,60,1.5小时,案例分析题（不可回退）
pharmacist_jichu,pharmacist,基础知识（药学/中药学）,100,60,1.5小时,客观题
pharmacist_xiangguan,pharmacist,相关专业知识,100,60,1.5小时,客观题
pharmacist_zhuanye,pharmacist,专业知识,100,60,1.5小时,客观题
pharmacist_shijian,pharmacist,专业实践能力,100,60,1.5小时,案例分析题
rehabilitation_jichu,rehabilitation,基础知识（康复医学基础+解剖+生理等）,100,60,1.5小时,客观题
rehabilitation_xiangguan,rehabilitation,相关专业知识（康复评定+影像+神经等）,100,60,1.5小时,客观题
rehabilitation_zhuanye,rehabilitation,专业知识（康复治疗技术+PT+OT+ST等）,100,60,1.5小时,客观题
rehabilitation_shijian,rehabilitation,专业实践能力,100,60,1.5小时,案例分析题
