question_id,cert_id,subject_id,exam_year,question_type,content,options,answer,analysis,difficulty
q_physician_01,physician_licensed,physician_licensed_unit1,2023,单选,不溶于血液的物质随血液运行造成血管管腔堵塞，从而产生组织缺血的现象称为：,"{""A"":""梗死"",""B"":""血栓形成"",""C"":""血液凝固"",""D"":""栓塞"",""E"":""栓子""}",D,栓塞是指不溶于血液的异常物质随血流运行堵塞血管管腔的现象。梗死是栓塞的结果，血栓形成是栓子的主要来源，血液凝固是血栓形成的过程。,1
q_physician_02,physician_licensed,physician_licensed_unit1,2024,单选,在烟草烟雾中使红细胞失去携氧能力，加剧机体组织缺氧状态的物质是：,"{""A"":""一氧化碳"",""B"":""二氧化碳"",""C"":""二氧化氮"",""D"":""焦油"",""E"":""尼古丁""}",A,一氧化碳与血红蛋白的亲和力比氧高约200-300倍，形成碳氧血红蛋白后使红细胞失去携氧能力，加重组织缺氧。焦油含致癌物，尼古丁使血管收缩。,2
q_physician_03,physician_licensed,physician_licensed_unit1,2024,单选,患者长期使用糖皮质激素，致肾上腺皮质功能减退的原因是：,"{""A"":""CRH降低，ACTH降低"",""B"":""CRH降低，ACTH升高"",""C"":""CRH升高，ACTH降低"",""D"":""CRH升高，ACTH升高"",""E"":""CRH不变，ACTH降低""}",A,长期使用外源性糖皮质激素通过负反馈抑制下丘脑-垂体-肾上腺轴，导致CRH↓→ACTH↓→肾上腺皮质萎缩。此为最常见的药源性肾上腺皮质功能减退原因。,3
q_physician_04,physician_licensed,,2025,单选,男，60岁，咳嗽、咳痰3个月余，右胸痛1个月，胸片示左下肺圆形阴影2cm×2cm左右，有毛刺，肋骨有骨质破坏。最可能的诊断是：,"{""A"":""肺癌(中央型)"",""B"":""肺脓肿"",""C"":""周围型肺癌"",""D"":""细支气管肺泡癌""}",C,肺周围型圆形阴影+毛刺征+肋骨骨质破坏→周围型肺癌骨转移。中央型肺癌多在肺门附近，肺脓肿有液平及感染症状，细支气管肺泡癌多为弥漫性。,3
q_physician_05,physician_licensed,,2025,多选,关于休克的微循环变化，下列哪些描述是正确的：,"{""A"":""早期微循环表现为毛细血管前括约肌收缩"",""B"":""缺血性缺氧期微循环表现为少灌少流"",""C"":""微循环改善最有意义指标是尿量>30ml/h"",""D"":""休克代偿期首要表现是血压下降"",""E"":""感染性休克属于分布性休克""}",ABCE,D选项错误：休克代偿期血压可正常或轻度升高（交感兴奋致外周血管收缩），血压下降属于失代偿期表现。其余选项均符合休克病理生理学。,4
q_physician_06,physician_licensed,physician_licensed_unit4,2023,单选,高血压病脑出血破裂的血管多为：,"{""A"":""大脑中动脉"",""B"":""大脑基底动脉"",""C"":""豆纹动脉"",""D"":""内囊动脉"",""E"":""大脑前动脉""}",C,豆纹动脉从大脑中动脉直角发出，承受血压冲击最大，是高血压脑出血最常见的破裂血管（占60%以上），出血部位多位于基底节区。,3
q_physician_07,physician_licensed,physician_licensed_unit4,2023,单选,急性感染性心内膜炎最常见的致病菌是：,"{""A"":""草绿色链球菌"",""B"":""金黄色葡萄球菌"",""C"":""淋球菌"",""D"":""肺炎链球菌"",""E"":""肠球菌""}",B,急性感染性心内膜炎最常见的致病菌是金黄色葡萄球菌。亚急性感染性心内膜炎最常见的致病菌是草绿色链球菌。注意区分急性与亚急性。,2
q_physician_08,physician_licensed,physician_licensed_unit4,2023,单选,阑尾切除术最常见的并发症是：,"{""A"":""出血"",""B"":""粪瘘"",""C"":""腹腔脓肿"",""D"":""切口感染"",""E"":""粘连性肠梗阻""}",D,切口感染是阑尾切除术后最常见的并发症（尤其化脓性/坏疽性阑尾炎）。粘连性肠梗阻是远期并发症，粪瘘和腹腔脓肿发生率较低。,2
q_physician_09,physician_licensed,physician_licensed_unit4,2023,单选,中年妇女乳头血性溢液，应首先考虑：,"{""A"":""乳管内乳头状瘤"",""B"":""乳腺囊性增生症"",""C"":""乳腺纤维腺瘤"",""D"":""炎性乳癌"",""E"":""乳腺硬癌""}",A,乳头血性溢液最常见于乳管内乳头状瘤（占约40%）。乳腺囊性增生为浆液性或乳汁样溢液。乳腺癌有血性溢液但通常伴肿块。纤维腺瘤多无溢液。,3
q_physician_10,physician_licensed,physician_licensed_unit4,2023,单选,甲状腺癌最常见的病理类型是：,"{""A"":""乳头状癌"",""B"":""滤泡状癌"",""C"":""乳头状癌合并滤泡状癌"",""D"":""髓样癌"",""E"":""未分化癌""}",A,甲状腺癌中乳头状癌占60%-70%，预后最好。滤泡状癌约占15%，髓样癌约占5%-10%，未分化癌恶性程度最高但占比最小。,1
