question_id,kp_id
q_physician_01,kp_physician_09
q_physician_02,kp_physician_02
q_physician_03,kp_physician_08
q_physician_04,kp_physician_02
q_physician_05,kp_physician_01
q_physician_06,kp_physician_07
q_physician_07,kp_physician_01
q_physician_08,kp_physician_03
q_physician_09,kp_physician_05
q_physician_10,kp_physician_08
q_pharmacist_01,kp_pharmacist_03
q_pharmacist_02,kp_pharmacist_03
q_pharmacist_03,kp_pharmacist_03
q_pharmacist_04,kp_pharmacist_07
q_pharmacist_05,kp_pharmacist_01
q_pharmacist_06,kp_pharmacist_02
q_nle_01,kp_nle_01
q_nle_02,kp_nle_04
q_nle_03,kp_nle_03
q_nle_04,kp_nle_05
q_nle_05,kp_nle_01
q_weisheng_01,kp_physician_title_05
q_weisheng_02,kp_physician_title_04
q_weisheng_03,kp_physician_title_04
q_weisheng_04,kp_physician_title_02
q_weisheng_05,kp_physician_title_02
