condition_id,cert_id,degree_level,major_category,work_years_construction,total_work_years,years_calc_rule_id,note,source_clause_id
cond_physician_01,physician_licensed,本科,本专业,0,1,rule_physician,试用期满1年（截止当年8月31日）；含临床/中医/口腔/公卫类别,
cond_physician_02,physician_licensed,硕士,本专业,0,1,rule_physician,专业学位研究生临床实践累计满1年可以本科学历报考；毕业当年以研究生学历报考需8月31日前提交毕业证,
cond_physician_03,physician_licensed,大专,本专业,2,0,rule_physician,取得执业助理医师资格后执业满2年方可报考执业医师,
cond_physician_04,physician_licensed,中专,本专业,5,0,rule_physician,取得执业助理医师资格后执业满5年方可报考执业医师,
cond_pharmacist_01,pharmacist_licensed,博士,本专业,0,0,rule_pharmacist,药学/中药学专业博士可直接报考 无需工作年限,
cond_pharmacist_02,pharmacist_licensed,硕士,本专业,0,1,rule_pharmacist,药学/中药学类专业硕士需工作满1年,
cond_pharmacist_03,pharmacist_licensed,本科,本专业,0,2,rule_pharmacist,药学/中药学类专业本科需工作满2年,
cond_pharmacist_04,pharmacist_licensed,大专,本专业,0,4,rule_pharmacist,药学/中药学类专业大专需工作满4年,
cond_pharmacist_05,pharmacist_licensed,本科,相关专业,0,3,rule_pharmacist,相关专业（非药学类）在以上基础上加1年,
cond_pharmacist_06,pharmacist_licensed,大专,相关专业,0,5,rule_pharmacist,相关专业大专加1年 共5年,
cond_pharmacist_07,pharmacist_licensed,硕士,相关专业,0,2,rule_pharmacist,相关专业硕士加1年 共2年,
cond_nle_01,nle,本科,本专业,0,0,rule_nle,新人：全日制法学类本科+学士及以上学位（不限工作年限）,
cond_nle_02,nle,硕士,本专业,0,0,rule_nle,新人：全日制非法学本科+法律硕士/法学硕士,
cond_nle_03,nle,本科,其他专业,3,0,rule_nle,新人：全日制非法学本科+从事法律工作满3年,
cond_nle_04,nle,本科,不限,0,0,rule_nle,老人（2018年4月前入学）：法学本科以上可直接报考,
cond_nle_05,nle,本科,不限,0,0,rule_nle,老人（2018年4月前入学）：非法学本科+法律知识可报考,
cond_physician_title_01,physician_title,博士,本专业,0,0,rule_physician_title,需取得住院医师规培合格证书（主治医师）,
cond_physician_title_02,physician_title,硕士,本专业,2,0,rule_physician_title,取得规培合格证后执业满2年,
cond_physician_title_03,physician_title,本科,本专业,4,0,rule_physician_title,执业医师注册后满4年（或规培合格+执业满2年）,
cond_physician_title_04,physician_title,大专,本专业,6,0,rule_physician_title,执业医师注册后满6年,
cond_pharmacist_primary_01,pharmacist,硕士,本专业,0,0,rule_weisheng,初级（师）：硕士毕业当年可考 无工作年限,
cond_pharmacist_primary_02,pharmacist,本科,本专业,0,1,rule_weisheng,初级（师）：本科从事本专业满1年,
cond_pharmacist_primary_03,pharmacist,大专,本专业,0,3,rule_weisheng,初级（师）：大专从事本专业满3年,
cond_pharmacist_mid_01,pharmacist,博士,本专业,0,0,rule_weisheng,中级：博士毕业当年可考,
cond_pharmacist_mid_02,pharmacist,硕士,本专业,2,0,rule_weisheng,中级：硕士取得药师职称后满2年,
cond_pharmacist_mid_03,pharmacist,本科,本专业,4,0,rule_weisheng,中级：本科取得药师职称后满4年,
cond_rehab_primary_01,rehabilitation,硕士,本专业,0,0,rule_weisheng,初级（师）：硕士毕业当年可考,
cond_rehab_primary_02,rehabilitation,本科,本专业,0,1,rule_weisheng,初级（师）：本科从事本专业满1年,
cond_rehab_primary_03,rehabilitation,大专,本专业,0,3,rule_weisheng,初级（师）：大专从事本专业满3年,
cond_rehab_mid_01,rehabilitation,博士,本专业,0,0,rule_weisheng,中级：博士毕业当年可考,
cond_rehab_mid_02,rehabilitation,硕士,本专业,2,0,rule_weisheng,中级：硕士取得技师职称后满2年,
cond_rehab_mid_03,rehabilitation,本科,本专业,4,0,rule_weisheng,中级：本科取得技师职称后满4年,
