kp_id,cert_id,subject_id,kp_name,kp_chapter,frequency,note
kp_physician_01,physician_licensed,,心血管系统疾病,临床医学综合·循环系统,高频,高血压/冠心病/心衰/心律失常/心脏瓣膜病历年必考
kp_physician_02,physician_licensed,,呼吸系统疾病,临床医学综合·呼吸系统,高频,COPD/肺炎/支气管哮喘/肺癌/肺结核
kp_physician_03,physician_licensed,,消化系统疾病,临床医学综合·消化系统,高频,肝硬化/消化性溃疡/胰腺炎/阑尾炎
kp_physician_04,physician_licensed,,泌尿系统疾病,临床医学综合·泌尿系统,高频,肾小球肾炎/肾病综合征/肾衰竭
kp_physician_05,physician_licensed,,妇产科,临床医学综合·妇产科,高频,妊娠/分娩/妇科肿瘤/生殖内分泌
kp_physician_06,physician_licensed,,儿科疾病,临床医学综合·儿科,高频,新生儿/营养障碍/感染性疾病/遗传代谢
kp_physician_07,physician_licensed,,神经精神系统,临床医学综合·神经精神,中频,脑血管病/癫痫/精神分裂症/抑郁症
kp_physician_08,physician_licensed,,内分泌与代谢,临床医学综合·内分泌,中频,糖尿病/甲状腺疾病/肾上腺疾病/痛风
kp_physician_09,physician_licensed,,血液系统疾病,临床医学综合·血液,中频,贫血/白血病/淋巴瘤/出血性疾病
kp_physician_10,physician_licensed,,传染病与性传播疾病,临床医学综合·传染病,中频,肝炎/结核/艾滋病/疟疾/霍乱
kp_physician_11,physician_licensed,,基础医学综合（生理+病理）,基础医学综合,中频,细胞电生理/血流动力学/炎症/肿瘤病理
kp_physician_12,physician_licensed,,医学人文综合,医学人文综合,高频,卫生法规/医学伦理学/医学心理学/医患沟通
kp_pharmacist_01,pharmacist_licensed,pharmacist_licensed_yao1,药物化学结构与命名,药学专业知识（一）·第2章,高频,母核结构/官能团/药物代谢转化/命名规则
kp_pharmacist_02,pharmacist_licensed,pharmacist_licensed_yao1,药物剂型与制剂,药学专业知识（一）·第7-9章,高频,片剂/注射剂/缓控释制剂/靶向制剂
kp_pharmacist_03,pharmacist_licensed,pharmacist_licensed_yao1,药代动力学,药学专业知识（一）·第3章,高频,AUC/半衰期/表观分布容积/生物利用度
kp_pharmacist_04,pharmacist_licensed,pharmacist_licensed_yao1,药效学,药学专业知识（一）·第4章,高频,受体理论/量效关系/作用机制/不良反应
kp_pharmacist_05,pharmacist_licensed,pharmacist_licensed_yao2,药物分类与药理作用,药学专业知识（二）,高频,抗菌药/心血管药/中枢神经药/内分泌药
kp_pharmacist_06,pharmacist_licensed,pharmacist_licensed_fagui,药事管理与法规,药事管理与法规,高频,药品管理法/注册管理/GMP/GSP/医保目录
kp_pharmacist_07,pharmacist_licensed,pharmacist_licensed_zhonghe,临床合理用药,药学综合知识与技能,高频,处方审核/药物相互作用/特殊人群用药/ADR监测
kp_nle_01,nle,nle_obj1,刑法·犯罪构成理论,刑法,高频,客观要件/主观要件/违法阻却事由/责任阻却事由
kp_nle_02,nle,nle_obj1,刑法·共同犯罪,刑法,高频,共犯成立条件/间接正犯/教唆犯/帮助犯/共犯脱离
kp_nle_03,nle,nle_obj1,刑法·财产犯罪与人身犯罪,刑法分则,高频,抢劫/盗窃/诈骗/侵占/绑架/故意杀人/故意伤害
kp_nle_04,nle,nle_obj2,民法·物权与担保,民法·物权编,高频,善意取得/抵押权/质权/保证/混合担保/非典型担保
kp_nle_05,nle,nle_obj2,民法·合同与侵权,民法·合同编+侵权编,高频,合同相对性/代位权/撤销权/买卖合同/用人者责任
kp_nle_06,nle,nle_obj1,行政法·行政行为,行政法,高频,行政许可/行政处罚/行政强制/行政复议/行政诉讼
kp_nle_07,nle,nle_obj1,刑事诉讼法,刑事诉讼法,高频,管辖/强制措施/证据规则/一审/二审/再审
kp_nle_08,nle,nle_obj2,民事诉讼法,民事诉讼法,高频,管辖/当事人/证据/保全/执行/第三人撤销之诉
kp_nle_09,nle,nle_subjective,刑法·鉴定式案例分析,主观题·刑法,高频,鉴定式框架/罪名辨析/竞合处理/量刑分析
kp_nle_10,nle,nle_subjective,民法·请求权基础分析,主观题·民法综合,高频,请求权基础方法/民商融合/综合案例分析
kp_physician_title_01,physician_title,,内科学·心血管系统,基础知识+专业,高频,高血压冠心病心衰/心律失常/瓣膜病/心肌病
kp_physician_title_02,physician_title,,内科学·呼吸系统,基础知识+专业,高频,COPD/哮喘/肺炎/肺结核/肺癌/呼吸衰竭
kp_physician_title_03,physician_title,,内科学·消化系统,基础知识+专业,高频,肝硬化/溃疡/胰腺炎/消化道出血/炎症性肠病
kp_physician_title_04,physician_title,,内科学·神经病学,基础知识+专业,中频,脑血管病/癫痫/帕金森/头痛/脱髓鞘疾病
kp_physician_title_05,physician_title,,内科学·内分泌与代谢,基础知识+专业知识,中频,糖尿病/甲亢/甲减/肾上腺/垂体/痛风
kp_pharmacist_title_01,pharmacist,,药理学,基础知识,高频,药效学/药动学/药物分类/作用机制/ADR
kp_pharmacist_title_02,pharmacist,,药剂学,专业知识,高频,固体制剂/液体制剂/无菌制剂/新剂型/稳定性
kp_pharmacist_title_03,pharmacist,,医院药学,专业知识+实践,高频,处方调剂/静脉配置/TDM/药品管理/药学服务
kp_rehab_01,rehabilitation,,康复评定学,相关专业知识,高频,肌力评定/关节活动度/平衡功能/步态分析/ADL评定
kp_rehab_02,rehabilitation,,物理治疗学,专业知识,高频,运动疗法/电疗/光疗/温热疗法/牵引/手法治疗
kp_rehab_03,rehabilitation,,神经康复,专业实践能力,高频,脑卒中/脊髓损伤/脑外伤/帕金森/周围神经损伤
kp_rehab_04,rehabilitation,,骨科康复与运动损伤,专业知识+实践,中频,骨折/关节置换/韧带损伤/颈椎病/腰椎间盘突出
