clause_id,doc_id,clause_section,clause_text,clause_summary,relates_to_type,relates_to_id
clause_physician_01,doc_physician_law,第八条,国家实行医师资格考试制度。医师资格考试分为执业医师资格考试和执业助理医师资格考试。医师资格考试由省级以上人民政府卫生健康主管部门组织实施。,实行医师资格考试制度,subject,physician_licensed
clause_physician_02,doc_physician_law,第九条第一项,高等学校相关医学专业本科以上学历，在执业医师指导下，在医疗卫生机构中参加医学专业工作实践满一年，可以参加执业医师资格考试。,本科+试用期满1年可考执业医师,condition,cond_physician_01
clause_physician_03,doc_physician_law,第九条第二项,高等学校相关医学专业专科学历，取得执业助理医师执业证书后，在医疗卫生机构中执业满二年，可以参加执业医师资格考试。,专科+助理医师后执业满2年可考执业医师,condition,cond_physician_03
clause_physician_04,doc_physician_law,第十二条,医师资格考试成绩合格，取得执业医师资格或者执业助理医师资格，发给医师资格证书。,成绩合格发给资格证书,score,physician_licensed
clause_physician_05,doc_physician_law,第十三条,国家实行医师执业注册制度。取得医师资格的，可以向所在地县级以上地方人民政府卫生健康主管部门申请注册。……未注册取得医师执业证书，不得从事医师执业活动。,执业注册制度，未注册不得执业,registration,physician_licensed
clause_physician_06,doc_physician_reg,第七条,医师执业注册内容包括：执业地点、执业类别、执业范围。执业地点是指执业医师执业的医疗卫生机构。,执业注册内容规定,registration,physician_licensed
clause_physician_07,doc_physician_reg,第十八条,医师注册后有下列情形之一的，予以注销注册：（一）死亡或被宣告失踪；（二）受刑事处罚；（三）受吊销医师执业证书行政处罚；（四）定期考核不合格暂停执业期满再次考核仍不合格；（五）中止医师执业活动满二年；（六）其他……,注销注册的六种情形,registration,physician_licensed
clause_pharmacist_01,doc_pharmacist_rule,第二条,国家设置执业药师准入类职业资格制度，纳入国家职业资格目录。,执业药师属于准入类,subject,pharmacist_licensed
clause_pharmacist_02,doc_pharmacist_rule,第六条,执业药师职业资格考试实行全国统一大纲、统一命题、统一组织，原则上每年举行一次。,全国统一考试,subject,pharmacist_licensed
clause_pharmacist_03,doc_pharmacist_rule,第九条,凡中华人民共和国公民和获准在我国境内就业的外籍人员，具备以下条件之一者，可以申请参加执业药师职业资格考试：（一）取得药学类、中药学类专业大专学历，在药学或中药学岗位工作满5年；（二）取得药学类、中药学类专业大学本科学历或学士学位，在药学或中药学岗位工作满3年……,执业药师报考条件（四个学历层次）,condition,pharmacist_licensed
clause_pharmacist_04,doc_pharmacist_rule,第十条,参加执业药师职业资格考试合格者，由各省、自治区、直辖市人力资源社会保障部门颁发《执业药师职业资格证书》。该证书由人力资源社会保障部统一印制，国家药监局与人力资源社会保障部用印，在全国范围内有效。,合格发证全国有效,score,pharmacist_licensed
clause_pharmacist_05,doc_pharmacist_rule,第十一条,执业药师实行注册制度。国家药监局负责执业药师注册的政策制定和组织实施，指导全国执业药师注册管理工作。各省、自治区、直辖市药品监督管理部门负责本行政区域内的执业药师注册管理工作。,执业药师注册制度,registration,pharmacist_licensed
clause_pharmacist_06,doc_pharmacist_rule,第十六条,执业药师注册有效期为五年。需要延续的，应当在有效期届满三十日前，向所在地注册管理机构提出延续注册申请。,注册有效期5年,registration,pharmacist_licensed
clause_pharmacist_07,doc_pharmacist_rule,第二十八条,严禁《执业药师注册证》挂靠，持证人注册单位与实际工作单位不符的，由发证部门撤销《执业药师注册证》，并作为个人不良信息由负责药品监督管理的部门记入全国执业药师注册管理信息系统。,严禁挂靠,registration,pharmacist_licensed
clause_pharmacist_08,doc_pharmacist_exam,第五条,考试以四年为一个周期，参加全部科目考试的人员须在连续四个考试年度内通过全部科目的考试。免试部分科目的人员须在连续两个考试年度内通过应试科目。,4年滚动（全科）/2年滚动（免二科）,score,pharmacist_licensed
clause_pharmacist_09,doc_pharmacist_exam,第七条,符合《执业药师职业资格制度规定》第九条，并取得药学或医学专业高级职称且在药学岗位工作的，可免试药学专业知识（一）、药学专业知识（二），只参加药事管理与法规、药学综合知识与技能两个科目的考试。,免二科条件（高级职称+药学岗位）,exemption,exemp_pharmacist_01
clause_nle_01,doc_nle,第二条,国家统一法律职业资格考试是国家统一组织的选拔合格法律职业人才的国家考试。初任法官、初任检察官，申请律师执业、公证员执业……应当通过国家统一法律职业资格考试，取得法律职业资格。,法考性质和适用范围,subject,nle
clause_nle_02,doc_nle,第九条第五项,具备全日制普通高等学校法学类本科学历并获得学士及以上学位；全日制普通高等学校非法学类本科及以上学历，并获得法律硕士、法学硕士及以上学位；全日制普通高等学校非法学类本科及以上学历并获得相应学位且从事法律工作满三年。,新人报名学历条件（三选一）,condition,cond_nle_01
clause_nle_03,doc_nle,第十三条,国家统一法律职业资格考试每年举行一次，分为客观题考试和主观题考试两部分。客观题考试合格成绩在本年度和下一个考试年度内有效。,客观题成绩2年有效,score,nle
clause_nle_04,doc_nle,第十八条,参加国家统一法律职业资格考试成绩合格……可以按照规定程序申请授予法律职业资格，由司法部颁发法律职业资格证书。,成绩合格发证,score,nle
clause_nle_05,doc_nle,第二十二条（老人老办法）,本办法实施前已取得学籍（考籍）或者已取得相应学历的高等学校法学类专业本科及以上学历毕业生，或者高等学校非法学类专业本科及以上学历毕业生并具有法律专业知识的，可以报名参加国家统一法律职业资格考试。,老人老办法（2018年4月前入学/毕业）,condition,cond_nle_04
clause_weisheng_01,doc_catalog_2017,附件（国家职业资格目录）,卫生专业技术资格：实施部门为国家卫生计生委、人力资源社会保障部；资格类别为水平评价类；设定依据为《卫生技术人员职务试行条例》（职改字〔1986〕第20号）。,卫生专业技术资格列入目录,subject,physician_title
clause_weisheng_02,doc_weisheng_title,二（六）条,初级、中级职称实行以考代评，考试实行全国统一组织、统一考试时间、统一考试大纲、统一考试命题、统一合格标准。……参加考试并合格者，由各省、自治区、直辖市人力资源社会保障部门颁发《卫生专业技术资格证书》，全国范围内有效。,初中级以考代评、全国统一,subject,physician_title
clause_weisheng_03,doc_weisheng_title,附表（卫生专业技术人员职称评价基本标准）,主治医师：具备博士学位并取得住院医师规培合格证书；或具备硕士学位取得规培合格证后执业满2年；或具备本科学历取得规培合格证后执业满2年或注册后执业满4年；或具备大专学历注册后执业满6年；或具备中专学历注册后执业满7年。,主治医师报考条件,condition,physician_title
clause_weisheng_04,doc_weisheng_title,附表（卫生专业技术人员职称评价基本标准）,主管药师：具备博士学位；或具备硕士学位取得药师职称后从事本专业工作满2年；或具备本科学历取得药师职称后从事本专业工作满4年；或具备大专学历取得药师职称后从事本专业工作满6年；或具备中专学历取得药师职称后从事本专业工作满7年。,主管药师报考条件,condition,pharmacist
clause_weisheng_05,doc_weisheng_title,附表（卫生专业技术人员职称评价基本标准）,主管技师（含康复治疗技术）：具备博士学位；或具备硕士学位取得技师职称后从事本专业工作满2年；或具备本科学历取得技师职称后从事本专业工作满4年……,主管技师报考条件（康复治疗技术）,condition,rehabilitation
clause_weisheng_06,doc_weisheng_title,二（五）条,凡在乡镇卫生院、社区卫生服务机构工作的医师、护师，可提前一年参加相应专业的中级卫生专业技术资格考试。本科及以上学历经规培合格并到基层医疗卫生机构工作的，可直接参加中级职称考试。,基层提前/直接报考中级,exemption,exemp_weisheng_01
clause_weisheng_07,doc_weisheng_title,二（九）条,对基层卫生专业技术人员，论文、科研不作要求，外语和计算机应用能力不作为申报职称的前置条件。,基层人员免除论文科研要求,exemption,
